Da0:  start_w:0, end_w:4000, start_h:0, end_h:4000, width:4000, height:4000
Da1:  start_w:4000, end_w:8000, start_h:0, end_h:4000, width:4000, height:4000
Da2:  start_w:8000, end_w:12000, start_h:0, end_h:4000, width:4000, height:4000
Da3:  start_w:12000, end_w:12288, start_h:0, end_h:4000, width:288, height:4000
Da4:  start_w:0, end_w:4000, start_h:4000, end_h:8000, width:4000, height:4000
Da5:  start_w:4000, end_w:8000, start_h:4000, end_h:8000, width:4000, height:4000
Da6:  start_w:8000, end_w:12000, start_h:4000, end_h:8000, width:4000, height:4000
Da7:  start_w:12000, end_w:12288, start_h:4000, end_h:8000, width:288, height:4000
Da8:  start_w:0, end_w:4000, start_h:8000, end_h:12000, width:4000, height:4000
Da9:  start_w:4000, end_w:8000, start_h:8000, end_h:12000, width:4000, height:4000
Da10:  start_w:8000, end_w:12000, start_h:8000, end_h:12000, width:4000, height:4000
Da11:  start_w:12000, end_w:12288, start_h:8000, end_h:12000, width:288, height:4000
Da12:  start_w:0, end_w:4000, start_h:12000, end_h:16000, width:4000, height:4000
Da13:  start_w:4000, end_w:8000, start_h:12000, end_h:16000, width:4000, height:4000
Da14:  start_w:8000, end_w:12000, start_h:12000, end_h:16000, width:4000, height:4000
Da15:  start_w:12000, end_w:12288, start_h:12000, end_h:16000, width:288, height:4000
Da16:  start_w:0, end_w:4000, start_h:16000, end_h:17920, width:4000, height:1920
Da17:  start_w:4000, end_w:8000, start_h:16000, end_h:17920, width:4000, height:1920
Da18:  start_w:8000, end_w:12000, start_h:16000, end_h:17920, width:4000, height:1920
Da19:  start_w:12000, end_w:12288, start_h:16000, end_h:17920, width:288, height:1920
